유형,선정년도,명품숲 명,개소,주요 수종,면적(ha),관리기관,탐방문의1,탐방문의2,특이사항,비고(차량 이용시 네이게이션상의 목적지 주소)
휴양·복지형 명품숲,2018,검마산 금강송숲,"경북 영양군 수비면 신원리 산23, 산26",소나무,1259,"남부지방산림청 영덕국유림관리소, 국립검마산자연휴양림",055-960-2531,054-682-9099,탐방로 1.4km,국립검마산자연휴양림
휴양·복지형 명품숲,2018,남해 편백나무숲,경남 남해군 삼동면 봉화리 산553-1,편백나무,120,"서부지방산림청 함양국유림관리소, 국립남해편백자연휴양림",041-830-5041,055-867-7881,탐방로 5km,국립남해편백자연휴양림
휴양·복지형 명품숲,2018,희리산 해송숲,충남 서천군 종천면 산천리 산35-1,해송,143,"중부지방산림청 부여국유림관리소, 국립희리산해송자연휴양림",043-420-0341,041-953-2230,등산로 숲길 5km,국립희리산해송자연휴양림
휴양·복지형 명품숲,2018,황정산 바위꽃숲,충북 단양군 대강면 올산리 산74-1,"졸참, 소나무, 낙엽송, 물박달 등",252,"중부지방산림청 단양국유림관리소, 국립황정산자연휴양림",043-420-0341,043-421-0608,탐방로 2.5km,국립황정산자연휴양림 관리사무소
휴양·복지형 명품숲,2018,소백산 천동계곡숲,충북 단양군 단양읍 천동리 산9-1,"졸참, 신갈, 소나무, 낙엽송 등",1240,"중부지방산림청 단양국유림관리소, 국립공원관리공단 소백산북부사업소",063-320-3642,043-423-0708,"등산로 숲길 6.8km, 희귀식물자생(주목, 56ha)",충북 단양군 단양읍 천동리 천동탐방지원센터
휴양·복지형 명품숲,2018,운장산 갈거계곡숲,전북 진안군 정천면 갈용리 산183,"굴참나무, 신갈나무 등",1031,"서부지방산림청 무주국유림관리소, 국립운장산자연휴양림",02-3299-4561,063-432-1193,탐방로 2.5km,국립운장산자연휴양림관리소
휴양·복지형 명품숲,2018,무의도 호룡곡산·국사봉 숲,인천 중구 무의동 산151-1외 50필 ,"소나무, 소사나무, 떡갈나무 등",331,북부지방산림청 서울국유림관리소,054-712-4142,,등산로 숲길 20km,
휴양·복지형 명품숲,2019,김천 단지봉숲,경북 김천시 증산면 수도리 산9-2,"소나무, 낙엽송, 자작나무 등",1247,남부지방산림청 구미국유림관리소,043-540-7075,,18년 김천 치유의 숲 조성,
휴양·복지형 명품숲,2019,속리산 말티재 숲,충북 보은군 장안면 장재리 산5-1,"소나무, 리기다, 낙엽송, 신갈 등",119,"중부지방산림청 보은국유림관리소, 국립말티재자연휴양림",055-960-2531,043-543-6282,"등산로 2.26km, 산책로 1.95km",국립속리산말티재 자연휴양림관리사무소
휴양·복지형 명품숲,2019,삼봉산 금강소나무 숲,경남 함양군 함양읍 죽림리 산364,"금강소나무, 낙엽송, 주목 등",20,서부지방산림청 함양국유림관리소,033-240-9941,,"금강소나무 시험 조림지, 지리산유아숲체험원, 등산로 숲길120km",
보전·연구형 명품숲,2020,방하리 굴참나무 숲,춘천시 남산면 방하리 산 95-1 외,"굴참나무, 신갈 등",116,북부지방산림청 춘천국유림관리소,033-371-8135,,산림자원 가치가 우수한 굴참나무 숲,
휴양·복지형 명품숲,2020,태화산 경관 숲,강원 영월읍 흥월리 산38 외3,"신갈, 소나무, 낙엽송, 굴참 등",715,동부지방산림청 영월국유림관리소,054-730-8131,,자연경관이 아름다운 경관 숲,
휴양·복지형 명품숲,2020,죽파리 자작나무숲,경북 영양군 수비면 죽파리 산39-1,자작나무,34,남부지방산림청 영덕국유림관리소,043-850-0331,,순백의 신비를 간직한 자작나무 숲,
경영·경관형 명품숲,2020,오청산 소나무 숲,충북 충주시 산척면 송강리 산236-1,"소나무, 전나무, 낙엽송, 백합 등",745,중부지방산림청 충주국유림관리소,063-570-1932,,산악레포츠의 적지,
경영·경관형 명품숲,2020,문수산 편백 숲,전북 고창군 고창읍 화산리 산100 외1,편백나무,73,서부지방산림청 정읍국유림관리소,031-240-8922,,생장이 우수한 편백나무 경영숲,
경영·경관형 명품숲,2021,양평 잣나무 숲,경기도 양평군 양동면 삼산리 산95-1,"잣나무, 낙엽송",100,북부지방산림청 수원국유림관리소,033-330-4032,,생육이 우량한 대규모 잣나무 숲,
보전·연구형 명품숲,2021,발왕산 생태숲,강원도 평창군 대관령면 용산리 산142-1,"신갈, 주목, 분비나무 등",1018,동부지방산림청 평창국유림관리소,055-370-2730,,설원의 경관이 아름다운 주목 군락지,
휴양·복지형 명품숲,2021,대장동 편백 숲,경상남도 창원시 진해구 대장동 산1-9 외 1,"편백, 굴참나무 등",109,남부지방산림청 양산국유림관리소,041-830-5041,,자연경관이 수려한 도심형 편백 숲,
보전·연구형 명품숲,2021,리기테다소나무 우량 숲,대전시 유성구 계산동 산1-1,"리기테다소나무, 낙엽송 등",58,중부지방산림청 부여국유림관리소,061-470-5341,,산림자원 가치가 우수한 리기테다소나무 숲,대전 유성구 학산로 62-54(계산동 277-1)
휴양·복지형 명품숲,2021,축령산 편백 숲,전라남도 장성군 서삼면  모암리 산97 외34,"편백, 삼나무, 낙엽송 등",388,서부지방산림청 영암국유림관리소,061-470-5341,,생장이 우수한 편백 치유 숲,
휴양·복지형 명품숲,2022년,거제 계룡산 편백숲,경남 거제시 장평동 산91 외 3,"편백나무, 삼나무 등",29,서부지방산림청 함양국유림관리소,041-830-5041,,생장이 우수한 편백 도시 숲,
경영·경관형 명품숲,2022년,대관령특수조림지,강원도 평창군 대관령면 횡계리 산14-25 외 8,"전나무, 잣나무, 가문비 등",618,동부지방산림청 평창국유림관리소,055-370-2730,,극한 지역의 산림녹화 성공 모델 숲,
보전·연구형 명품숲,2022년,두타산 무릉계곡 숲,강원도 동해시 삼화동 산267,"소나무, 신갈, 굴참, 박달 등",2427,동부지방산림청 삼척국유림관리소,033-570-5241,,기암괴석 등 산림경관이 아름다운 숲,
경영·경관형 명품숲,2022년,신원리 산림경영숲,충남 청양군 비봉면 신원리 산100-1 외3,"자잣나무, 잣나무, 낙엽송 등",59,중부지방산림청 부여국유림관리소,043-420-0341,,자원순환을 위한 산림경영숲,
휴양·복지형 명품숲,2022년,영주 마실치유숲,경북 영주시 봉현면 두산리 산32-1,"낙엽송, 신갈나무 등",58,남부지방산림청 영주국유림관리소,054-630-4031,,한적히 산책하기 좋은 치유 숲,
